,year,manufacturer,model,avg_rating,count,id
519,2005,bmw,x3,4.416071429,70,519
520,2006,bmw,x3,4.558823529,51,520
521,2007,bmw,x3,4.285714286,70,521
522,2008,bmw,x3,3.763888889,45,522
523,2009,bmw,x3,4.95,5,523
524,2010,bmw,x3,4.90625,4,524
525,2011,bmw,x3,3.78515625,32,525
526,2012,bmw,x3,4.071428571,7,526
527,2013,bmw,x3,4.125,27,527
528,2014,bmw,x3,4.390625,16,528
529,2015,bmw,x3,4.666666667,9,529
530,2016,bmw,x3,4.269230769,26,530
531,2017,bmw,x3,3.714285714,21,531
532,2018,bmw,x3,4.379310345,29,532
533,2015,bmw,x4,4.275,10,533
534,2017,bmw,x4,5,5,534
535,2018,bmw,x4,4,1,535
536,2000,bmw,x5,4.0375,10,536
537,2001,bmw,x5,4.310546875,64,537
538,2002,bmw,x5,4.425403226,62,538
539,2003,bmw,x5,4.275862069,58,539
540,2004,bmw,x5,4.458333333,57,540
541,2005,bmw,x5,4.211956522,69,541
542,2006,bmw,x5,4.341666667,60,542
543,2007,bmw,x5,3.773897059,68,543
544,2008,bmw,x5,3.992857143,70,544
545,2009,bmw,x5,4.390086207,58,545
546,2010,bmw,x5,4.408653846,52,546
547,2011,bmw,x5,4.094879518,83,547
548,2012,bmw,x5,3.841666667,30,548
549,2013,bmw,x5,3.842105263,19,549
550,2014,bmw,x5,4.71875,8,550
551,2015,bmw,x5,4,15,551
552,2016,bmw,x5,4.297297297,37,552
553,2017,bmw,x5,4.466666667,15,553
554,2018,bmw,x5,4.833333333,6,554
555,2017,bmw,x5 hybrid,5,2,555
556,2008,bmw,x6,4.615384615,13,556
557,2009,bmw,x6,4.6953125,16,557
558,2010,bmw,x6,4.427083333,12,558
559,2011,bmw,x6,3.921052632,19,559
560,2012,bmw,x6,4.109375,8,560
561,2013,bmw,x6,4.875,2,561
562,2014,bmw,x6,3.75,4,562
563,2016,bmw,x6,4.888888889,9,563
564,2017,bmw,x6,2,1,564
565,2018,bmw,x6,5,3,565
566,1997,bmw,z3,4.549107143,28,566
567,1998,bmw,z3,4.662037037,27,567
568,1999,bmw,z3,4.693181818,22,568
569,2000,bmw,z3,4.493243243,37,569
570,2001,bmw,z3,4.775641026,39,570
571,2002,bmw,z3,4.701923077,26,571
572,2003,bmw,z4,4.654411765,68,572
573,2004,bmw,z4,4.724206349,63,573
574,2005,bmw,z4,4.744642857,70,574
575,2006,bmw,z4,4.78125,68,575
576,2007,bmw,z4,4.684375,40,576
577,2008,bmw,z4,4.8375,20,577
578,2009,bmw,z4,4.833333333,15,578
579,2010,bmw,z4,4.84375,4,579
580,2011,bmw,z4,4.365384615,13,580
581,2012,bmw,z4,4.666666667,3,581
582,2015,bmw,z4,4.5,2,582
583,2016,bmw,z4,4.875,8,583
584,2000,bmw,z8,4.625,2,584
585,2001,bmw,z8,4.875,7,585
586,2002,bmw,z8,4.791666667,9,586
587,2003,bmw,z8,4.425,15,587
588,2016,buick,cascada,3.933333333,30,588
589,2017,buick,cascada,4.166666667,6,589
590,2018,buick,cascada,4.5,4,590
591,1997,buick,century,4.507352941,17,591
592,1998,buick,century,4.294642857,28,592
593,1999,buick,century,4.103448276,29,593
594,2000,buick,century,4.0859375,32,594
595,2001,buick,century,4.1,40,595
596,2002,buick,century,4.300925926,54,596
597,2003,buick,century,4.125,42,597
598,2004,buick,century,4.5,23,598
599,2005,buick,century,4.590909091,22,599
600,2008,buick,enclave,3.585714286,70,600
601,2009,buick,enclave,4.041071429,70,601
602,2010,buick,enclave,4.126785714,70,602
603,2011,buick,enclave,4.276041667,48,603
604,2012,buick,enclave,3.895833333,18,604
605,2013,buick,enclave,4.24375,20,605
606,2014,buick,enclave,4.110294118,17,606
607,2015,buick,enclave,4.178571429,21,607
608,2016,buick,enclave,4,8,608
609,2017,buick,enclave,4,13,609
610,2018,buick,enclave,4.055555556,18,610
611,2013,buick,encore,4.263392857,28,611
612,2014,buick,encore,4.26,25,612
613,2015,buick,encore,3.723484848,33,613
614,2016,buick,encore,3.871794872,39,614
615,2017,buick,encore,4.615384615,13,615
616,2018,buick,encore,4.5,14,616
617,2016,buick,envision,4.235294118,17,617
618,2017,buick,envision,3.892857143,28,618
619,2018,buick,envision,5,2,619
620,2005,buick,lacrosse,4.367857143,70,620
621,2006,buick,lacrosse,4.501785714,70,621
622,2007,buick,lacrosse,4.176630435,46,622
623,2008,buick,lacrosse,4.260869565,46,623
624,2009,buick,lacrosse,4.241071429,14,624
625,2010,buick,lacrosse,4.276785714,70,625
626,2011,buick,lacrosse,4,53,626
627,2012,buick,lacrosse,4.095833333,30,627
628,2013,buick,lacrosse,4.595238095,21,628
629,2014,buick,lacrosse,3.666666667,6,629
630,2015,buick,lacrosse,4.166666667,12,630
631,2016,buick,lacrosse,4.444444444,9,631
632,2017,buick,lacrosse,3.909090909,33,632
633,2012,buick,lacrosse hybrid,4.104166667,12,633
634,2013,buick,lacrosse hybrid,4,5,634
635,2014,buick,lacrosse hybrid,4.6875,2,635
